game_id,ticker,timestamp,datetime,open,high,low,close,volume
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763942460,2025-11-24 00:01:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763942520,2025-11-24 00:02:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763942580,2025-11-24 00:03:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763942640,2025-11-24 00:04:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763942700,2025-11-24 00:05:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763943300,2025-11-24 00:15:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763943360,2025-11-24 00:16:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763944140,2025-11-24 00:29:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763944200,2025-11-24 00:30:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763944500,2025-11-24 00:35:00,49.0,49.0,47.0,47.0,200
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763944560,2025-11-24 00:36:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763944620,2025-11-24 00:37:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763944680,2025-11-24 00:38:00,49.0,49.0,49.0,49.0,39
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763944740,2025-11-24 00:39:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763944980,2025-11-24 00:43:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763945340,2025-11-24 00:49:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763945460,2025-11-24 00:51:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763945580,2025-11-24 00:53:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763945640,2025-11-24 00:54:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763945700,2025-11-24 00:55:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763945820,2025-11-24 00:57:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763945880,2025-11-24 00:58:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763946060,2025-11-24 01:01:00,49.0,49.0,49.0,49.0,10
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763946120,2025-11-24 01:02:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763946180,2025-11-24 01:03:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763946240,2025-11-24 01:04:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763946300,2025-11-24 01:05:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763946360,2025-11-24 01:06:00,47.0,47.0,47.0,47.0,94
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763946420,2025-11-24 01:07:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763946540,2025-11-24 01:09:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763946660,2025-11-24 01:11:00,49.0,49.0,49.0,49.0,2
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763946720,2025-11-24 01:12:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763946780,2025-11-24 01:13:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763946840,2025-11-24 01:14:00,49.0,49.0,49.0,49.0,12
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763946900,2025-11-24 01:15:00,49.0,49.0,49.0,49.0,50
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763946960,2025-11-24 01:16:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763947020,2025-11-24 01:17:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763947260,2025-11-24 01:21:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763947320,2025-11-24 01:22:00,49.0,49.0,49.0,49.0,19
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763947380,2025-11-24 01:23:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763947440,2025-11-24 01:24:00,49.0,49.0,49.0,49.0,197
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763947500,2025-11-24 01:25:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763947680,2025-11-24 01:28:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763947740,2025-11-24 01:29:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763947800,2025-11-24 01:30:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763947860,2025-11-24 01:31:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763947980,2025-11-24 01:33:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763948100,2025-11-24 01:35:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763948160,2025-11-24 01:36:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763948220,2025-11-24 01:37:00,49.0,49.0,49.0,49.0,20
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763948280,2025-11-24 01:38:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763948400,2025-11-24 01:40:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763948460,2025-11-24 01:41:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763948520,2025-11-24 01:42:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763948580,2025-11-24 01:43:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763948640,2025-11-24 01:44:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763948700,2025-11-24 01:45:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763948760,2025-11-24 01:46:00,49.0,49.0,49.0,49.0,48
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763948820,2025-11-24 01:47:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763948880,2025-11-24 01:48:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763949060,2025-11-24 01:51:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763949120,2025-11-24 01:52:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763949180,2025-11-24 01:53:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763949240,2025-11-24 01:54:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763949300,2025-11-24 01:55:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763949360,2025-11-24 01:56:00,48.0,48.0,48.0,48.0,1
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763949420,2025-11-24 01:57:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763949480,2025-11-24 01:58:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763949540,2025-11-24 01:59:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763949600,2025-11-24 02:00:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763949660,2025-11-24 02:01:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763949720,2025-11-24 02:02:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763949780,2025-11-24 02:03:00,48.0,48.0,48.0,48.0,4
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763949840,2025-11-24 02:04:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763949900,2025-11-24 02:05:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763950020,2025-11-24 02:07:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763950080,2025-11-24 02:08:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763950200,2025-11-24 02:10:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763950260,2025-11-24 02:11:00,48.0,48.0,48.0,48.0,20
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763950320,2025-11-24 02:12:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763950380,2025-11-24 02:13:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763950440,2025-11-24 02:14:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763950500,2025-11-24 02:15:00,47.0,47.0,47.0,47.0,50
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763950560,2025-11-24 02:16:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763950620,2025-11-24 02:17:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763950680,2025-11-24 02:18:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763950740,2025-11-24 02:19:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763950800,2025-11-24 02:20:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763950860,2025-11-24 02:21:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763950920,2025-11-24 02:22:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763951040,2025-11-24 02:24:00,47.0,47.0,47.0,47.0,126
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763951100,2025-11-24 02:25:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763951160,2025-11-24 02:26:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763951220,2025-11-24 02:27:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763951280,2025-11-24 02:28:00,44.0,44.0,44.0,44.0,17
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763951340,2025-11-24 02:29:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763951400,2025-11-24 02:30:00,46.0,46.0,46.0,46.0,5
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763951460,2025-11-24 02:31:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763951520,2025-11-24 02:32:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763951580,2025-11-24 02:33:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763951640,2025-11-24 02:34:00,46.0,46.0,46.0,46.0,204
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763951760,2025-11-24 02:36:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763951820,2025-11-24 02:37:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763951880,2025-11-24 02:38:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763951940,2025-11-24 02:39:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763952000,2025-11-24 02:40:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763952060,2025-11-24 02:41:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763952120,2025-11-24 02:42:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763952180,2025-11-24 02:43:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763952240,2025-11-24 02:44:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763952300,2025-11-24 02:45:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763952360,2025-11-24 02:46:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763952420,2025-11-24 02:47:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763952480,2025-11-24 02:48:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763952540,2025-11-24 02:49:00,,,,,0
22500288,KXNBAGAME-25NOV24PORMIL-POR,1763952600,2025-11-24 02:50:00,,,,,0
