game_id,ticker,timestamp,datetime,open,high,low,close,volume
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763856120,2025-11-23 00:02:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763856240,2025-11-23 00:04:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763856420,2025-11-23 00:07:00,86.0,86.0,86.0,86.0,5
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763856480,2025-11-23 00:08:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763856540,2025-11-23 00:09:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763856600,2025-11-23 00:10:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763856660,2025-11-23 00:11:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763856720,2025-11-23 00:12:00,86.0,86.0,86.0,86.0,10
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763856780,2025-11-23 00:13:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763856960,2025-11-23 00:16:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763857020,2025-11-23 00:17:00,86.0,86.0,86.0,86.0,10
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763857080,2025-11-23 00:18:00,86.0,86.0,86.0,86.0,1
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763857260,2025-11-23 00:21:00,86.0,87.0,86.0,87.0,2196
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763857320,2025-11-23 00:22:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763857380,2025-11-23 00:23:00,86.0,87.0,86.0,87.0,85
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763857440,2025-11-23 00:24:00,87.0,87.0,87.0,87.0,2
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763857620,2025-11-23 00:27:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763857740,2025-11-23 00:29:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763857920,2025-11-23 00:32:00,88.0,88.0,88.0,88.0,2
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763858040,2025-11-23 00:34:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763858100,2025-11-23 00:35:00,85.0,85.0,85.0,85.0,93
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763858160,2025-11-23 00:36:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763858220,2025-11-23 00:37:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763858280,2025-11-23 00:38:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763858340,2025-11-23 00:39:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763858400,2025-11-23 00:40:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763858460,2025-11-23 00:41:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763858520,2025-11-23 00:42:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763858580,2025-11-23 00:43:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763858640,2025-11-23 00:44:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763858700,2025-11-23 00:45:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763858760,2025-11-23 00:46:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763858820,2025-11-23 00:47:00,86.0,86.0,86.0,86.0,2
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763858880,2025-11-23 00:48:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763858940,2025-11-23 00:49:00,86.0,86.0,86.0,86.0,34
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763859000,2025-11-23 00:50:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763859060,2025-11-23 00:51:00,87.0,87.0,87.0,87.0,120
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763859120,2025-11-23 00:52:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763859180,2025-11-23 00:53:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763859240,2025-11-23 00:54:00,87.0,87.0,87.0,87.0,2
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763859300,2025-11-23 00:55:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763859360,2025-11-23 00:56:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763859420,2025-11-23 00:57:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763859480,2025-11-23 00:58:00,87.0,87.0,87.0,87.0,11
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763859540,2025-11-23 00:59:00,87.0,87.0,87.0,87.0,1
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763859600,2025-11-23 01:00:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763859660,2025-11-23 01:01:00,87.0,88.0,87.0,88.0,119
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763859720,2025-11-23 01:02:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763859780,2025-11-23 01:03:00,88.0,88.0,88.0,88.0,31
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763859900,2025-11-23 01:05:00,85.0,87.0,85.0,87.0,14
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763859960,2025-11-23 01:06:00,,,,,0
22500279,KXNBAGAME-25NOV23BKNTOR-TOR,1763860020,2025-11-23 01:07:00,,,,,0
