iter	Passed	Remaining
0	208	62272
1	249	37117
2	291	28862
3	331	24564
4	378	22333
5	424	20807
6	468	19591
7	515	18815
8	562	18176
9	607	17627
10	656	17253
11	706	16951
12	756	16691
13	800	16351
14	845	16071
15	894	15875
16	942	15688
17	985	15440
18	1034	15296
19	1096	15349
20	1142	15183
21	1197	15126
22	1249	15049
23	1300	14951
24	1356	14917
25	1406	14817
26	1461	14776
27	1521	14783
28	1577	14738
29	1633	14705
30	1687	14646
31	1739	14565
32	1789	14480
33	1850	14481
34	1901	14394
35	1953	14327
36	2001	14223
37	2050	14137
38	2097	14039
39	2144	13940
40	2192	13852
41	2239	13757
42	2286	13663
43	2329	13554
44	2371	13438
45	2416	13344
46	2460	13245
47	2502	13139
48	2551	13068
49	2598	12992
50	2643	12908
51	2683	12796
52	2727	12713
53	2774	12639
54	2817	12549
55	2864	12481
56	2907	12396
57	2953	12324
58	3002	12265
59	3050	12202
60	3099	12142
61	3142	12063
62	3188	11993
63	3231	11915
64	3274	11838
65	3324	11785
66	3371	11726
67	3413	11646
68	3456	11571
69	3500	11502
70	3542	11425
71	3584	11352
72	3630	11290
73	3676	11229
74	3726	11178
75	3771	11115
76	3818	11058
77	3861	10990
78	3908	10933
79	3955	10876
80	3998	10811
81	4044	10752
82	4093	10701
83	4140	10647
84	4191	10601
85	4240	10551
86	4284	10490
87	4329	10430
88	4381	10388
89	4430	10336
90	4472	10271
91	4514	10206
92	4559	10148
93	4605	10092
94	4643	10020
95	4687	9961
96	4731	9901
97	4778	9850
98	4823	9792
99	4865	9731
100	4911	9676
101	4955	9619
102	4997	9557
103	5042	9502
104	5089	9451
105	5131	9390
106	5172	9330
107	5213	9268
108	5257	9213
109	5303	9160
110	5348	9107
111	5388	9045
112	5436	8996
113	5485	8949
114	5529	8895
115	5579	8850
116	5626	8799
117	5667	8741
118	5711	8687
119	5759	8639
120	5801	8582
121	5845	8528
122	5891	8477
123	5932	8420
124	5974	8364
125	6020	8314
126	6065	8262
127	6111	8212
128	6151	8154
129	6197	8104
130	6242	8052
131	6285	7999
132	6333	7952
133	6384	7908
134	6433	7862
135	6478	7812
136	6520	7757
137	6568	7710
138	6610	7657
139	6654	7604
140	6702	7558
141	6746	7506
142	6790	7454
143	6837	7407
144	6886	7361
145	6930	7310
146	6974	7259
147	7023	7213
148	7076	7171
149	7123	7123
150	7168	7073
151	7213	7023
152	7258	6973
153	7304	6925
154	7349	6875
155	7391	6823
156	7438	6774
157	7481	6724
158	7525	6673
159	7572	6625
160	7618	6577
161	7662	6527
162	7706	6476
163	7747	6424
164	7789	6373
165	7838	6327
166	7881	6276
167	7923	6225
168	7967	6176
169	8012	6126
170	8055	6076
171	8102	6029
172	8145	5980
173	8188	5929
174	8231	5879
175	8280	5833
176	8329	5788
177	8371	5737
178	8418	5690
179	8464	5643
180	8510	5595
181	8551	5544
182	8601	5499
183	8651	5454
184	8702	5409
185	8749	5362
186	8796	5315
187	8838	5265
188	8884	5218
189	8929	5169
190	8974	5121
191	9017	5072
192	9059	5022
193	9107	4976
194	9160	4932
195	9213	4888
196	9258	4840
197	9306	4794
198	9347	4744
199	9392	4696
200	9433	4646
201	9479	4598
202	9524	4550
203	9566	4501
204	9610	4453
205	9655	4405
206	9700	4358
207	9740	4308
208	9789	4262
209	9831	4213
210	9874	4164
211	9920	4117
212	9966	4070
213	10011	4023
214	10057	3976
215	10102	3928
216	10145	3880
217	10192	3833
218	10236	3786
219	10279	3738
220	10322	3689
221	10364	3641
222	10404	3592
223	10448	3544
224	10490	3496
225	10536	3450
226	10591	3405
227	10634	3358
228	10678	3310
229	10721	3263
230	10766	3215
231	10810	3168
232	10857	3122
233	10905	3075
234	10957	3030
235	10998	2982
236	11044	2935
237	11085	2887
238	11129	2840
239	11173	2793
240	11215	2745
241	11259	2698
242	11309	2652
243	11355	2606
244	11399	2559
245	11437	2510
246	11485	2464
247	11532	2418
248	11580	2371
249	11622	2324
250	11664	2277
251	11708	2230
252	11751	2183
253	11793	2135
254	11836	2088
255	11878	2041
256	11923	1994
257	11969	1948
258	12017	1902
259	12065	1856
260	12113	1810
261	12162	1764
262	12211	1717
263	12255	1671
264	12296	1624
265	12337	1577
266	12381	1530
267	12424	1483
268	12465	1436
269	12507	1389
270	12553	1343
271	12598	1296
272	12647	1250
273	12689	1204
274	12735	1157
275	12781	1111
276	12828	1065
277	12876	1018
278	12924	972
279	12969	926
280	13016	880
281	13057	833
282	13100	786
283	13152	740
284	13200	694
285	13245	648
286	13284	601
287	13329	555
288	13372	508
289	13418	462
290	13461	416
291	13507	370
292	13551	323
293	13598	277
294	13643	231
295	13686	184
296	13729	138
297	13773	92
298	13815	46
299	13860	0
