strategy,trades,win_rate,total_pl,avg_pl,avg_hold,sharpe
static,15283,0.021527187070601323,-239235.852,-15.653723221880522,5.0,-169.27504203442174
dynamic,15283,0.02519138912517176,-237264.835,-15.524755283648497,12.313551004383957,-141.597038857336
