price_min,price_max,threshold,hold_period,total_trades,wins,losses,win_rate,games_traded,trades_per_game,total_gross_pl_dollars,total_fees_dollars,total_net_pl_dollars,mean_net_pl_pct,median_net_pl_pct,std_net_pl_pct,avg_win_pct,avg_loss_pct,sharpe_ratio,max_drawdown_pct,win_loss_ratio,t_statistic,p_value,win_rate_p_value,win_rate_ci_low,win_rate_ci_high,is_significant,mc_prob_profitable,mc_mean_ci_low,mc_mean_ci_high,mc_sharpe_ci_low,mc_sharpe_ci_high
1,5,25,5,2040,850,1190,0.4166666666666667,248,8.225806451612904,803.0,748.5877000000002,54.41229999999992,9.657595343137254,-13.58,137.08649549007015,83.62073725490197,-43.173220308123256,1.118341910316943,-2193.324166666654,1.936865877924059,3.181921153905739,0.0014850339614292352,5.364712662039174e-14,0.39544914048499,0.4381974476431414,True,0.999,3.9203360437091477,16.08508983251634,0.5122639394777818,1.6871441451635611
1,15,30,7,2816,1259,1557,0.4470880681818182,271,10.391143911439114,917.0,1721.5079,-804.5079000000003,5.536014736526098,-13.58,155.8760735226017,84.85831401014482,-58.60449572300247,0.5637908852680862,-3413.9175000000005,1.4479830081847738,1.8846647391099989,0.059578052811511864,2.1207963365279516e-08,0.4288089858962165,0.46551131389658507,False,0.983,0.3873577470915762,11.631776309842943,0.039110968202233524,1.1138734735080786
1,10,15,15,3791,1735,2056,0.45766288578211556,228,16.62719298245614,2075.0,2442.7879000000003,-367.78790000000026,8.584380250007326,-13.300000000000004,312.11782892032386,106.81033477196834,-74.30571269532457,0.43660694513414144,-10444.180396825399,1.437444456120384,1.6934300481247613,0.09045581483615145,1.9904945438473883e-07,0.44185460777690305,0.47355687818811126,False,0.967,-0.353525747384159,18.662004930013854,-0.021896180113608433,0.797341586177595
1,5,20,3,2487,1051,1436,0.42259750703659027,257,9.67704280155642,1078.0,969.0408000000001,108.95919999999987,7.487013268998791,-13.58,110.87153433516708,67.72731763399936,-36.602513115134634,1.071985264271486,-2152.8894999999857,1.8503461065900157,3.3676460360914517,0.0007696736141975404,1.2077703871948318e-14,0.40331757956280273,0.44211617992573543,True,1.0,3.3961134047044617,11.754927333802437,0.5345472024254305,1.5896874491291564
1,5,18,3,2700,1140,1560,0.4222222222222222,257,10.505836575875486,1110.0,1085.0434000000002,24.95659999999984,6.1185692592592575,-13.440000000000001,107.27641354421019,64.70213888888888,-36.69250085470086,0.9054112887276913,-2913.457166666648,1.7633613785308277,2.9636541183301217,0.003066687919604151,6.490902117794703e-16,0.4037154503169626,0.44094999830620213,True,1.0,2.485738367283949,10.302461114197529,0.3890804466648741,1.4215029631063996
1,20,30,7,3060,1378,1682,0.4503267973856209,288,10.625,1038.0,2188.0306000000005,-1150.0306000000003,4.492056252344254,-13.58,152.80273376631757,83.15537839255708,-59.95387591722368,0.46667478098361714,-4751.917843763937,1.3869891999537602,1.626203064657893,0.10400946703868287,4.209348367860731e-08,0.43277200144362926,0.46800615431740256,False,0.951,-0.5625427472897075,10.049224524188924,-0.06528695330040768,1.0238679892199116
1,5,15,3,2912,1224,1688,0.42032967032967034,258,11.286821705426357,1167.0,1228.9039000000002,-61.903900000000206,5.07655460164835,-13.440000000000001,103.94744420102278,62.250813997821346,-36.38155766192733,0.775274530099699,-3029.852333333319,1.7110541163817663,2.6354266382465608,0.008447735777514821,8.114922691261616e-18,0.40251788503044506,0.43835137807837177,True,0.994,1.716795728880492,9.081284310611261,0.2720713231346484,1.3224265610476265
1,5,20,5,2415,999,1416,0.41366459627329194,249,9.698795180722891,901.0,940.8777000000002,-39.877700000000104,7.000405175983435,-13.58,128.3663686596092,77.99552285618952,-43.08725200094162,0.8657095171767979,-2285.3781666666728,1.8101763104893538,2.6799734348031303,0.007412825633802121,2.138429294910482e-17,0.39417478579979426,0.433428632159104,True,0.999,2.0381815062111777,12.338326671842648,0.28798245823775026,1.440785901433443
1,5,25,3,2107,890,1217,0.4224015187470337,256,8.23046875,942.0,774.3596000000002,167.6403999999999,9.75528777092232,-13.58,118.22591475704579,73.30485187265917,-36.71892098055327,1.309868422474198,-2296.4094999999816,1.9963781591371434,3.7875612959569094,0.0001563965738516206,1.1103606610463075e-12,0.401470736237326,0.4436147396834038,True,1.0,4.698296124031004,15.37054080248378,0.6710712362188268,1.916343774288608
1,10,12,15,4384,2000,2384,0.4562043795620438,228,19.228070175438596,1997.0,2999.184300000001,-1002.1843000000003,5.551001602146332,-13.160000000000002,293.3228106583042,99.0434580734127,-72.8822672495872,0.30041788567972416,-15402.05480952379,1.3589513857223434,1.2530280340911717,0.21026234669535102,7.120905073200201e-09,0.4415052943874928,0.47098014894408863,False,0.896,-2.985675916142578,14.982868346114293,-0.21903709317657033,0.6505905647946688
1,10,25,5,2794,1208,1586,0.4323550465282749,264,10.583333333333334,1346.0,1491.3780000000002,-145.37800000000024,6.216062742157227,-13.58,131.76463724387384,76.4884991754704,-47.30796198132469,0.7488878576404326,-2855.8629365079214,1.6168208473166743,2.493616824951492,0.0127023330482563,9.134560931072387e-13,0.4140909638319555,0.45080488335470786,True,0.997,1.5411937689962025,10.755481761548271,0.19183448760124922,1.230329538816854
1,25,30,7,3241,1457,1784,0.44955260721999385,293,11.061433447098976,692.0,2596.1642,-1904.1642000000002,3.235883050721668,-13.58,149.86996840918363,81.4255098639738,-60.62190073117763,0.3427507958308447,-5544.42498208504,1.3431698591083097,1.229186316495583,0.2190912184129576,9.98104856815484e-09,0.4324963346950549,0.46672832569286904,False,0.9,-1.8302797672989586,8.195164209910908,-0.20221830696470508,0.8327207466780151
1,5,12,3,2912,1224,1688,0.42032967032967034,258,11.286821705426357,1167.0,1228.9039000000002,-61.903900000000206,5.07655460164835,-13.440000000000001,103.94744420102278,62.250813997821346,-36.38155766192733,0.775274530099699,-3029.852333333319,1.7110541163817663,2.6354266382465608,0.008447735777514821,8.114922691261616e-18,0.40251788503044506,0.43835137807837177,True,0.995,1.6097219350961514,9.015495884844318,0.2569659677945182,1.3256976838858792
1,5,18,5,2627,1078,1549,0.4103540159878188,249,10.550200803212851,887.0,1053.3481000000002,-166.34810000000013,5.2319065473924615,-13.58,123.94275732436246,74.6656770253556,-43.0893359156445,0.670099192851028,-3357.948833333329,1.7328110410317707,2.163559587678681,0.030588088548838183,3.77021724652815e-20,0.39168801081463156,0.42928181675866073,True,0.984,0.36660199054688253,10.499410025694704,0.04364080041717721,1.2531408786422777
