price_min,price_max,threshold,hold,win_rate,gross_pl,fee,net_pl,trades,avg_win,avg_loss,price_range_label
80,90,25,5,0.8181818181818182,2.3636363636363638,1.7850000000000006,0.5786363636363632,11,3.7777777777777777,4.0,80-90
1,5,10,5,0.7352941176470589,0.9705882352941179,0.40740000000000004,0.5631882352941178,34,2.36,2.888888888888889,1-5
1,20,15,15,0.7916666666666666,1.8749999999999991,1.3156500000000002,0.5593499999999989,24,4.578947368421052,8.4,1-20
1,15,10,15,0.8333333333333334,1.5833333333333337,1.0304000000000002,0.5529333333333335,48,3.475,7.875,1-15
80,90,15,5,0.6862745098039216,2.333333333333333,1.7850000000000006,0.5483333333333325,51,4.828571428571428,3.125,80-90
1,10,8,20,0.9090909090909091,1.2727272727272725,0.7276500000000001,0.5450772727272724,22,1.65,2.5,1-10
95,99,8,15,0.8333333333333334,0.9444444444444448,0.4074000000000004,0.5370444444444444,18,2.0,4.333333333333333,95-99
10,20,12,2,0.6,2.3199999999999994,1.7850000000000001,0.5349999999999993,75,7.088888888888889,4.833333333333333,10-20
1,15,18,7,0.84375,1.5625,1.0304000000000002,0.5320999999999998,32,2.4074074074074074,3.0,1-15
5,15,10,15,0.813953488372093,1.7674418604651163,1.2600000000000002,0.5074418604651161,43,3.9714285714285715,7.875,5-15
75,90,25,5,0.7142857142857143,2.523809523809524,2.0212500000000007,0.5025595238095235,21,5.0,3.6666666666666665,75-90
95,99,25,3,0.8888888888888888,0.8888888888888884,0.4074000000000004,0.481488888888888,18,1.875,7.0,95-99
15,20,18,18,0.8333333333333334,2.5,2.02125,0.4787499999999998,6,3.6,3.0,15-20
1,20,18,3,0.6557377049180327,1.786885245901639,1.3156500000000002,0.4712352459016389,61,5.075,4.476190476190476,1-20
1,10,12,3,0.7058823529411765,1.1911764705882355,0.7276500000000001,0.4635264705882354,68,3.1458333333333335,3.5,1-10
