position_id,game_id,strategy,entry_time,entry_price,exit_time,exit_price,hold_minutes,size,pl_pct,pl_dollars,fees,is_winner
POS_0001,42400174,Demo: 40-80¢ Move>8% Hold 3min,2025-04-26 22:36:00,62.00680919671518,2025-04-26 22:39:00,58.940698685161664,3.0,100,-0.44675705779670205,-0.2770197964008596,3.3431303079543775,False
POS_0002,42400174,Demo: 50-90¢ Move>10% Hold 5min,2025-04-26 22:36:00,62.42633511168326,2025-04-26 22:41:00,56.78331066613458,5.0,100,3.657628494439919,2.283323421079479,3.3597010244691967,True
POS_0003,42400174,Demo: 60-99¢ Move>12% Hold 7min,2025-04-26 22:36:00,62.51401349859698,2025-04-26 22:43:00,55.94822760670719,7.0,100,5.119129415382349,3.2001732537427707,3.365612638147018,True
POS_0004,42400174,Demo: 20-60¢ Move>7% Hold 5min,2025-04-26 22:39:00,59.252738707149014,2025-04-26 22:44:00,57.848537601212286,5.0,100,-3.3631356732217155,-1.99274999282098,3.3969510987577083,False
POS_0005,42400174,Demo: 40-80¢ Move>8% Hold 3min,2025-04-26 22:49:00,66.41831720759096,2025-04-26 22:52:00,64.46248543367098,3.0,100,-1.8203728120773268,-1.2090609886862627,3.164892762606245,False
POS_0006,42400174,Demo: 50-90¢ Move>10% Hold 5min,2025-04-26 22:49:00,65.74652182389684,2025-04-26 22:54:00,61.512950878987795,5.0,100,1.5208738172219443,0.9999216361537586,3.2336493087552887,True
POS_0007,42400174,Demo: 60-99¢ Move>12% Hold 7min,2025-04-26 22:49:00,66.1831609888589,2025-04-26 22:56:00,52.39854626571505,7.0,100,15.822707730071622,10.471968129789923,3.3126465933539304,True
POS_0009,42400174,Demo: 40-80¢ Move>8% Hold 3min,2025-04-26 22:55:00,56.218111318311855,2025-04-26 22:58:00,51.791630216788796,3.0,100,1.7001522679261007,0.9557934945634989,3.4706876069595602,True
POS_0008,42400174,Demo: 20-60¢ Move>7% Hold 5min,2025-04-26 22:55:00,56.4361588122458,2025-04-26 23:00:00,55.60296351235816,5.0,100,-4.635029415362472,-2.6158325618482725,3.4490278617359142,False
POS_0010,42400174,Demo: 20-60¢ Move>7% Hold 5min,2025-04-26 22:56:00,51.70056782248468,2025-04-26 23:01:00,54.43003415364805,5.0,100,-12.0186384780789,-6.213704337698422,3.4842380065350493,False
