entry_idx,exit_idx,entry_price,exit_price,hold_period,raw_pl,fees,net_pl,is_winner,confidence,game_id
1569,1584,36.0,37.0,15,1.0,3.2445000000000004,-2.2445000000000004,False,0.5592477675700847,0022501215
1586,1601,36.0,46.0,15,10.0,3.3516000000000004,6.6484,True,0.5453140546972874,0022501215
1602,1617,52.0,30.0,15,22.0,3.2172,18.7828,True,0.5344837607172858,0022501215
1618,1633,35.0,90.0,15,-55.0,2.2225,-57.2225,False,0.6162663918595213,0022501215
1634,1649,82.0,50.0,15,-32.0,2.783200000000001,-34.7832,False,0.699921469219809,0022501215
1208,1223,26.0,28.0,15,-2.0,2.7580000000000005,-4.758000000000001,False,0.5165811866276026,0022501216
1228,1243,25.0,25.0,15,0.0,2.6250000000000004,-2.6250000000000004,False,0.5015457583717249,0022501216
1244,1259,22.0,37.0,15,15.0,2.8329000000000004,12.1671,True,0.5350602630350239,0022501216
1260,1275,43.0,57.0,15,-14.0,3.4314000000000004,-17.4314,False,0.5826370511928153,0022501216
1282,1297,59.0,50.0,15,9.0,3.4433000000000002,5.556699999999999,True,0.5769713292634607,0022501216
1298,1313,60.0,84.0,15,-24.0,2.6208000000000005,-26.6208,False,0.6306125519207547,0022501216
1314,1329,85.0,98.0,15,-13.0,1.0297000000000003,-14.0297,False,0.628182747076291,0022501216
1330,1333,98.0,98.0,3,0.0,0.27440000000000025,-0.27440000000000025,False,0.9296212404477512,0022501216
26,41,38.0,43.0,15,5.0,3.3649000000000004,1.6350999999999996,True,0.5575073071085097,0022501217
114,129,39.0,37.0,15,-2.0,3.2970000000000006,-5.297000000000001,False,0.5113173538111843,0022501217
1269,1284,37.0,36.0,15,-1.0,3.2445000000000004,-4.2445,False,0.5555194000727587,0022501217
1285,1300,36.0,42.0,15,6.0,3.3180000000000005,2.6819999999999995,True,0.5548634037841983,0022501217
1302,1317,39.0,36.0,15,3.0,3.2781000000000002,-0.27810000000000024,False,0.5726593400167863,0022501217
1324,1339,33.0,33.0,15,0.0,3.0954,-3.0954,False,0.6334719968579873,0022501217
1341,1356,31.0,30.0,15,-1.0,2.9673,-3.9673,False,0.5270540462610472,0022501217
1357,1372,29.0,24.0,15,-5.0,2.7181,-7.7181,False,0.526393474491689,0022501217
1373,1388,28.0,35.0,15,-7.0,3.0037000000000003,-10.0037,False,0.6231382152475444,0022501217
1389,1404,29.0,3.0,15,-26.0,1.645,-27.645,False,0.5470022710388373,0022501217
1204,1219,79.0,77.0,15,-2.0,2.401,-4.401,False,0.6113755978565271,0022501218
1221,1236,69.0,65.0,15,-4.0,3.0898000000000003,-7.0898,False,0.5052715040835716,0022501218
1237,1252,63.0,57.0,15,-6.0,3.3474000000000004,-9.3474,False,0.5171172207006403,0022501218
1262,1277,52.0,30.0,15,-22.0,3.2172,-25.2172,False,0.546121130008377,0022501218
1278,1293,33.0,41.0,15,-8.0,3.2410000000000005,-11.241,False,0.6246002486919066,0022501218
1294,1309,52.0,56.0,15,-4.0,3.4720000000000004,-7.472,False,0.6971568798615342,0022501218
1310,1325,44.0,73.0,15,29.0,3.1045000000000007,25.8955,True,0.5385583326560054,0022501218
