threshold,trades,wins,losses,win_rate,avg_win,avg_loss,total_pl_100,total_pl_500,total_pl_1000
0.5,2365,967,1398,0.40887949260042283,12.708376421923475,-6.408440629470673,3330.0,16650.0,33300.0
0.55,1326,590,736,0.444947209653092,13.769491525423728,-8.07336956521739,2182.0,10910.0,21820.0
0.6,742,359,383,0.4838274932614555,15.089136490250697,-8.994778067885118,1972.0,9860.0,19720.0
0.65,375,190,185,0.5066666666666667,16.189473684210526,-10.448648648648648,1143.0,5715.0,11430.0
0.7,202,106,96,0.5247524752475248,15.962264150943396,-12.510416666666666,491.0,2455.0,4910.0
0.75,89,50,39,0.5617977528089888,16.62,-13.512820512820513,304.0,1520.0,3040.0
0.8,24,12,12,0.5,17.833333333333332,-16.666666666666668,14.0,70.0,140.0
0.85,5,2,3,0.4,10.5,-13.333333333333334,-19.0,-95.0,-190.0
